"coffeid","typeid","value"
1,1,"8.67"
1,2,"8.83"
1,3,"8.67"
1,4,"8.75"
1,5,"8.5"
1,6,"8.42"
1,7,"10"
1,8,"10"
1,9,"10"
1,10,"8.75"
1,11,"90.58"
1,12,"0.12"
1,13,"0"
1,14,"0"
1,15,"300"
1,16,"0"
1,17,"1950"
1,18,"2200"
2,1,"8.75"
2,2,"8.67"
2,3,"8.5"
2,4,"8.58"
2,5,"8.42"
2,6,"8.42"
2,7,"10"
2,8,"10"
2,9,"10"
2,10,"8.58"
2,11,"89.92"
2,12,"0.12"
2,13,"0"
2,14,"0"
2,15,"300"
2,16,"1"
2,17,"1950"
2,18,"2200"
3,1,"8.42"
3,2,"8.5"
3,3,"8.42"
3,4,"8.42"
3,5,"8.33"
3,6,"8.42"
3,7,"10"
3,8,"10"
3,9,"10"
3,10,"9.25"
3,11,"89.75"
3,12,"0"
3,13,"0"
3,14,"0"
3,15,"5"
3,16,"0"
3,17,"1600"
3,18,"1800"
4,1,"8.17"
4,2,"8.58"
4,3,"8.42"
4,4,"8.42"
4,5,"8.5"
4,6,"8.25"
4,7,"10"
4,8,"10"
4,9,"10"
4,10,"8.67"
4,11,"89"
4,12,"0.11"
4,13,"0"
4,14,"0"
4,15,"320"
4,16,"2"
4,17,"1800"
4,18,"2200"
5,1,"8.25"
5,2,"8.5"
5,3,"8.25"
5,4,"8.5"
5,5,"8.42"
5,6,"8.33"
5,7,"10"
5,8,"10"
5,9,"10"
5,10,"8.58"
5,11,"88.83"
5,12,"0.12"
5,13,"0"
5,14,"0"
5,15,"300"
5,16,"2"
5,17,"1950"
5,18,"2200"
6,1,"8.58"
6,2,"8.42"
6,3,"8.42"
6,4,"8.5"
6,5,"8.25"
6,6,"8.33"
6,7,"10"
6,8,"10"
6,9,"10"
6,10,"8.33"
6,11,"88.83"
6,12,"0.11"
6,13,"0"
6,14,"0"
6,15,"100"
6,16,"1"
6,17,NA
6,18,NA
7,1,"8.42"
7,2,"8.5"
7,3,"8.33"
7,4,"8.5"
7,5,"8.25"
7,6,"8.25"
7,7,"10"
7,8,"10"
7,9,"10"
7,10,"8.5"
7,11,"88.75"
7,12,"0.11"
7,13,"0"
7,14,"0"
7,15,"100"
7,16,"0"
7,17,NA
7,18,NA
8,1,"8.25"
8,2,"8.33"
8,3,"8.5"
8,4,"8.42"
